cont(F)_1_filtered,cont(N)_1_filtered,cont(F)_2_filtered,cont(N)_2_filtered,cont(F)_3_filtered,cont(N)_3_filtered
0.487,0.6,0.523,0.648,0.5,0.581
0.537,0.635,0.554,0.678,0.54,0.612
0.567,0.659,0.586,0.709,0.567,0.637
0.597,0.676,0.612,0.721,0.603,0.669
0.615,0.688,0.634,0.729,0.629,0.687
0.642,0.701,0.653,0.741,0.651,0.699
0.652,0.703,0.665,0.742,0.656,0.705
0.661,0.708,0.667,0.733,0.673,0.706
0.655,0.695,0.673,0.714,0.674,0.699
0.671,0.681,0.669,0.697,0.672,0.685
0.667,0.683,0.653,0.665,0.664,0.667
0.643,0.642,0.649,0.641,0.65,0.645
0.638,0.62,0.625,0.608,0.628,0.612
0.613,0.576,0.603,0.572,0.607,0.588
0.584,0.548,0.577,0.525,0.583,0.544
0.549,0.501,0.55,0.478,0.551,0.501
0.506,0.448,0.51,0.425,0.508,0.452
0.479,0.408,0.474,0.385,0.473,0.398
0.445,0.353,0.423,0.315,0.428,0.343
0.39,0.296,0.38,0.267,0.375,0.287
0.335,0.242,0.338,0.203,0.334,0.227
0.304,0.189,0.282,0.141,0.273,0.165
0.247,0.131,0.224,0.077,0.224,0.105
0.189,0.065,0.173,0.017,0.163,0.039
0.125,0.006,0.11,-0.048,0.108,-0.033
0.053,-0.055,0.049,-0.11,0.046,-0.091
0.003,-0.116,-0.008,-0.17,-0.026,-0.155
-0.066,-0.177,-0.064,-0.234,-0.078,-0.221
-0.121,-0.239,-0.124,-0.293,-0.14,-0.288
-0.17,-0.289,-0.192,-0.347,-0.204,-0.35
-0.244,-0.356,-0.251,-0.406,-0.266,-0.411
-0.305,-0.412,-0.309,-0.456,-0.331,-0.467
-0.368,-0.464,-0.364,-0.509,-0.39,-0.525
-0.412,-0.511,-0.415,-0.556,-0.45,-0.578
-0.473,-0.552,-0.476,-0.604,-0.501,-0.626
-0.517,-0.594,-0.532,-0.644,-0.562,-0.67
-0.582,-0.645,-0.571,-0.683,-0.611,-0.716
-0.62,-0.676,-0.627,-0.72,-0.655,-0.749
-0.644,-0.703,-0.66,-0.752,-0.703,-0.785
-0.705,-0.742,-0.703,-0.785,-0.747,-0.815
-0.748,-0.772,-0.732,-0.802,-0.784,-0.843
-0.782,-0.795,-0.768,-0.82,-0.805,-0.859
-0.811,-0.816,-0.798,-0.84,-0.838,-0.877
-0.832,-0.835,-0.827,-0.853,-0.855,-0.891
-0.864,-0.843,-0.844,-0.859,-0.874,-0.892
-0.875,-0.846,-0.854,-0.855,-0.885,-0.889
-0.881,-0.85,-0.857,-0.853,-0.893,-0.885
-0.883,-0.842,-0.861,-0.845,-0.89,-0.873
-0.867,-0.824,-0.855,-0.83,-0.874,-0.856
-0.873,-0.811,-0.844,-0.806,-0.868,-0.831
-0.859,-0.787,-0.836,-0.782,-0.842,-0.799
-0.819,-0.753,-0.817,-0.75,-0.823,-0.762
-0.804,-0.728,-0.779,-0.714,-0.776,-0.72
-0.777,-0.684,-0.745,-0.668,-0.739,-0.671
-0.723,-0.635,-0.704,-0.619,-0.693,-0.617
-0.682,-0.585,-0.65,-0.562,-0.646,-0.56
-0.618,-0.522,-0.597,-0.501,-0.587,-0.495
-0.577,-0.474,-0.532,-0.435,-0.522,-0.423
-0.515,-0.411,-0.478,-0.366,-0.454,-0.352
-0.437,-0.34,-0.396,-0.297,-0.381,-0.276
-0.364,-0.256,-0.335,-0.223,-0.308,-0.194
-0.301,-0.191,-0.258,-0.139,-0.224,-0.106
-0.23,-0.115,-0.18,-0.06,-0.134,-0.023
-0.135,-0.033,-0.095,0.025,-0.056,0.065
-0.068,0.053,-0.011,0.113,0.031,0.145
0.03,0.133,0.081,0.206,0.122,0.234
0.115,0.219,0.166,0.283,0.204,0.325
0.207,0.292,0.245,0.373,0.288,0.409
0.285,0.373,0.338,0.458,0.361,0.488
0.358,0.455,0.404,0.541,0.46,0.576
0.432,0.531,0.484,0.62,0.533,0.651
0.525,0.609,0.573,0.704,0.611,0.721
0.603,0.674,0.641,0.764,0.682,0.79
0.66,0.742,0.715,0.827,0.754,0.855
0.721,0.805,0.779,0.884,0.816,0.905
0.796,0.864,0.842,0.95,0.853,0.96
0.843,0.901,0.88,0.998,0.913,1.004
0.889,0.947,0.925,1.033,0.958,1.04
0.926,0.984,0.948,1.06,0.991,1.069
0.971,1.012,0.997,1.081,1.021,1.089
0.991,1.04,1.02,1.101,1.051,1.099
1.004,1.051,1.032,1.106,1.063,1.108
1.022,1.061,1.041,1.102,1.077,1.099
1.029,1.061,1.052,1.09,1.066,1.089
1.028,1.05,1.053,1.078,1.055,1.061
1.019,1.028,1.039,1.059,1.042,1.043
1.003,1.003,1.013,1.019,1.021,1.003
0.987,0.983,0.978,0.972,0.998,0.972
0.958,0.932,0.963,0.941,0.967,0.925
0.925,0.887,0.934,0.893,0.923,0.871
0.885,0.842,0.897,0.835,0.87,0.817
0.853,0.787,0.849,0.765,0.821,0.752
0.822,0.735,0.813,0.71,0.759,0.685
0.755,0.672,0.737,0.641,0.712,0.616
0.699,0.597,0.691,0.564,0.635,0.537
0.633,0.533,0.631,0.496,0.58,0.469
0.569,0.46,0.568,0.427,0.506,0.388
0.528,0.421,0.487,0.353,0.435,0.314
0.449,0.327,0.429,0.27,0.349,0.232
0.392,0.26,0.373,0.195,0.283,0.153
0.314,0.171,0.304,0.117,0.207,0.079
0.242,0.101,0.223,0.04,0.131,-0.001
0.158,0.022,0.151,-0.028,0.046,-0.075
0.091,-0.05,0.074,-0.098,-0.022,-0.155
0.03,-0.123,-0.003,-0.168,-0.105,-0.225
-0.08,-0.226,-0.075,-0.244,-0.18,-0.296
-0.168,-0.302,-0.138,-0.312,-0.248,-0.367
-0.237,-0.368,-0.208,-0.378,-0.314,-0.428
-0.313,-0.437,-0.284,-0.434,-0.389,-0.485
-0.392,-0.499,-0.343,-0.492,-0.457,-0.544
-0.461,-0.58,-0.412,-0.547,-0.516,-0.598
-0.484,-0.599,-0.469,-0.602,-0.576,-0.65
-0.557,-0.653,-0.535,-0.649,-0.631,-0.688
-0.62,-0.716,-0.588,-0.689,-0.677,-0.731
-0.665,-0.744,-0.635,-0.731,-0.721,-0.768
-0.716,-0.779,-0.691,-0.772,-0.768,-0.797
-0.765,-0.819,-0.74,-0.799,-0.811,-0.819
-0.809,-0.851,-0.78,-0.827,-0.836,-0.837
-0.844,-0.877,-0.819,-0.853,-0.871,-0.854
-0.867,-0.888,-0.849,-0.87,-0.893,-0.863
-0.889,-0.904,-0.882,-0.882,-0.898,-0.868
-0.932,-0.927,-0.904,-0.891,-0.91,-0.862
-0.957,-0.939,-0.916,-0.894,-0.923,-0.855
-0.967,-0.933,-0.943,-0.894,-0.927,-0.845
