cont(F)_1_filtered,cont(N)_1_filtered,cont(F)_2_filtered,cont(N)_2_filtered,cont(F)_3_filtered,cont(N)_3_filtered
0.68,0.725,0.677,0.675,0.694,0.646
0.691,0.682,0.692,0.642,0.708,0.618
0.7,0.628,0.691,0.601,0.715,0.583
0.706,0.602,0.688,0.547,0.708,0.538
0.698,0.541,0.672,0.504,0.701,0.491
0.699,0.484,0.658,0.45,0.691,0.448
0.668,0.434,0.63,0.392,0.658,0.381
0.644,0.368,0.613,0.327,0.657,0.347
0.616,0.305,0.581,0.267,0.626,0.273
0.583,0.225,0.549,0.197,0.599,0.232
0.545,0.158,0.508,0.132,0.56,0.166
0.5,0.098,0.452,0.063,0.509,0.091
0.452,0.033,0.402,-0.004,0.474,0.039
0.405,-0.038,0.354,-0.074,0.428,-0.017
0.345,-0.108,0.297,-0.142,0.366,-0.088
0.279,-0.185,0.243,-0.212,0.317,-0.133
0.225,-0.243,0.179,-0.282,0.259,-0.203
0.161,-0.314,0.126,-0.34,0.206,-0.258
0.094,-0.38,0.052,-0.408,0.146,-0.312
0.022,-0.449,-0.002,-0.466,0.076,-0.367
-0.04,-0.495,-0.084,-0.529,0.017,-0.411
-0.117,-0.55,-0.135,-0.578,-0.046,-0.466
-0.179,-0.604,-0.207,-0.638,-0.12,-0.523
-0.258,-0.659,-0.281,-0.686,-0.186,-0.566
-0.317,-0.703,-0.342,-0.732,-0.257,-0.604
-0.396,-0.746,-0.412,-0.771,-0.318,-0.638
-0.459,-0.777,-0.453,-0.803,-0.381,-0.676
-0.522,-0.804,-0.521,-0.84,-0.45,-0.705
-0.564,-0.829,-0.587,-0.865,-0.506,-0.737
-0.63,-0.848,-0.64,-0.886,-0.549,-0.754
-0.678,-0.869,-0.686,-0.903,-0.612,-0.774
-0.726,-0.879,-0.729,-0.914,-0.669,-0.79
-0.772,-0.878,-0.778,-0.918,-0.713,-0.798
-0.805,-0.874,-0.817,-0.92,-0.75,-0.801
-0.829,-0.864,-0.848,-0.913,-0.794,-0.799
-0.868,-0.852,-0.883,-0.902,-0.831,-0.798
-0.882,-0.827,-0.899,-0.873,-0.864,-0.793
-0.907,-0.8,-0.915,-0.851,-0.875,-0.774
-0.904,-0.776,-0.911,-0.82,-0.907,-0.755
-0.905,-0.735,-0.914,-0.787,-0.913,-0.732
-0.914,-0.689,-0.923,-0.743,-0.925,-0.706
-0.887,-0.647,-0.902,-0.689,-0.912,-0.664
-0.863,-0.596,-0.89,-0.631,-0.919,-0.637
-0.833,-0.514,-0.856,-0.578,-0.905,-0.587
-0.813,-0.461,-0.825,-0.51,-0.888,-0.536
-0.76,-0.384,-0.793,-0.444,-0.857,-0.49
-0.712,-0.305,-0.749,-0.37,-0.83,-0.427
-0.671,-0.227,-0.696,-0.29,-0.792,-0.369
-0.615,-0.149,-0.627,-0.207,-0.744,-0.306
-0.532,-0.068,-0.57,-0.121,-0.704,-0.228
-0.465,0.029,-0.498,-0.032,-0.641,-0.16
-0.382,0.107,-0.426,0.057,-0.594,-0.096
-0.301,0.212,-0.353,0.142,-0.507,-0.01
-0.226,0.291,-0.266,0.238,-0.447,0.078
-0.122,0.378,-0.177,0.321,-0.361,0.161
-0.043,0.462,-0.097,0.409,-0.293,0.24
0.051,0.545,0.001,0.497,-0.211,0.321
0.139,0.61,0.079,0.575,-0.124,0.399
0.218,0.682,0.18,0.645,-0.043,0.472
0.319,0.742,0.269,0.718,0.047,0.55
0.407,0.807,0.348,0.783,0.136,0.621
0.477,0.861,0.438,0.846,0.222,0.685
0.564,0.906,0.509,0.895,0.298,0.743
0.646,0.938,0.591,0.933,0.406,0.803
0.712,0.983,0.665,0.973,0.473,0.86
0.766,0.992,0.724,1.007,0.553,0.908
0.833,1.002,0.8,1.036,0.641,0.948
0.872,1.01,0.855,1.044,0.705,0.979
0.935,1.013,0.892,1.054,0.762,0.989
0.971,0.992,0.934,1.055,0.811,1.004
1.02,0.996,0.975,1.034,0.853,1.01
1.019,0.955,1.002,1.018,0.902,1.018
1.014,0.91,1.009,0.993,0.943,1.007
1.015,0.864,1.031,0.956,0.992,1
1.005,0.818,1.027,0.913,1.017,0.962
1.003,0.763,1.02,0.864,1.019,0.927
0.988,0.701,1.019,0.811,1.054,0.918
0.96,0.623,0.991,0.749,1.026,0.859
0.914,0.567,0.968,0.684,1.041,0.819
0.885,0.496,0.924,0.612,1.025,0.753
0.843,0.422,0.904,0.543,1.004,0.706
0.76,0.324,0.844,0.471,0.973,0.633
0.691,0.236,0.791,0.396,0.961,0.586
0.628,0.157,0.745,0.32,0.911,0.504
0.553,0.069,0.665,0.231,0.866,0.436
0.482,-0.017,0.6,0.149,0.823,0.354
0.411,-0.093,0.533,0.061,0.773,0.281
0.319,-0.177,0.456,-0.023,0.714,0.206
0.238,-0.258,0.373,-0.103,0.645,0.114
0.159,-0.336,0.285,-0.188,0.59,0.043
0.069,-0.409,0.211,-0.265,0.523,-0.036
0,-0.478,0.129,-0.342,0.477,-0.106
-0.085,-0.554,0.047,-0.407,0.378,-0.188
-0.17,-0.612,-0.032,-0.48,0.311,-0.27
-0.248,-0.68,-0.118,-0.547,0.221,-0.334
-0.32,-0.721,-0.201,-0.607,0.155,-0.411
-0.378,-0.762,-0.275,-0.67,0.073,-0.475
-0.497,-0.829,-0.365,-0.723,-0.014,-0.54
-0.57,-0.859,-0.43,-0.767,-0.076,-0.599
-0.642,-0.898,-0.5,-0.809,-0.159,-0.646
-0.705,-0.932,-0.578,-0.855,-0.227,-0.699
-0.767,-0.946,-0.636,-0.883,-0.3,-0.755
-0.811,-0.949,-0.708,-0.908,-0.382,-0.798
-0.855,-0.962,-0.754,-0.92,-0.442,-0.844
-0.877,-0.965,-0.802,-0.938,-0.518,-0.875
-0.905,-0.948,-0.842,-0.944,-0.568,-0.9
-0.919,-0.924,-0.879,-0.946,-0.643,-0.925
-0.969,-0.912,-0.904,-0.94,-0.676,-0.939
-0.972,-0.872,-0.935,-0.919,-0.721,-0.947
-0.967,-0.842,-0.955,-0.897,-0.766,-0.95
-0.947,-0.797,-0.976,-0.875,-0.804,-0.954
-0.935,-0.739,-0.976,-0.839,-0.854,-0.959
-0.912,-0.674,-0.962,-0.797,-0.89,-0.948
-0.888,-0.607,-0.958,-0.751,-0.904,-0.925
-0.851,-0.546,-0.929,-0.697,-0.914,-0.903
-0.808,-0.465,-0.91,-0.64,-0.94,-0.871
-0.751,-0.38,-0.881,-0.58,-0.955,-0.843
-0.674,-0.286,-0.835,-0.501,-0.951,-0.804
-0.636,-0.219,-0.771,-0.426,-0.94,-0.757
-0.576,-0.126,-0.737,-0.354,-0.932,-0.708
-0.481,-0.034,-0.686,-0.271,-0.908,-0.65
-0.401,0.057,-0.611,-0.184,-0.886,-0.592
-0.326,0.153,-0.539,-0.095,-0.846,-0.525
-0.235,0.242,-0.456,-0.019,-0.811,-0.461
-0.157,0.331,-0.387,0.077,-0.766,-0.387
-0.046,0.415,-0.306,0.167,-0.709,-0.308
0.054,0.519,-0.225,0.255,-0.665,-0.232
0.134,0.598,-0.145,0.338,-0.607,-0.151
0.243,0.676,-0.047,0.417,-0.543,-0.064
0.323,0.745,0.045,0.5,-0.484,0.022
0.401,0.79,0.14,0.575,-0.417,0.102
0.477,0.85,0.245,0.648,-0.345,0.192
0.554,0.898,0.301,0.708,-0.258,0.267
0.624,0.942,0.406,0.772,-0.189,0.349
0.711,0.978,0.468,0.814,-0.111,0.426
0.753,1.006,0.559,0.867,-0.022,0.516
0.825,1.023,0.619,0.902,0.066,0.577
0.846,1.034,0.69,0.934,0.141,0.662
0.906,1.023,0.749,0.957,0.226,0.73
0.949,1.006,0.81,0.971,0.301,0.791
0.986,1,0.869,0.989,0.357,0.837
1,0.976,0.901,0.986,0.431,0.9
1.024,0.938,0.949,0.975,0.52,0.935
1.029,0.909,0.985,0.965,0.582,0.973
1.017,0.854,1.001,0.951,0.639,0.998
1.01,0.805,1.025,0.926,0.695,1.027
0.998,0.765,1.006,0.875,0.749,1.028
0.973,0.693,1.012,0.836,0.81,1.041
0.944,0.625,0.994,0.787,0.846,1.039
0.895,0.557,1,0.739,0.876,1.036
0.864,0.485,0.967,0.677,0.91,1.019
0.819,0.396,0.951,0.631,0.931,0.997
0.756,0.32,0.935,0.565,0.958,0.96
0.69,0.24,0.893,0.509,0.959,0.923
0.617,0.159,0.831,0.428,0.962,0.89
0.558,0.077,0.789,0.358,0.959,0.829
0.507,0.002,0.742,0.287,0.957,0.767
0.402,-0.085,0.689,0.213,0.944,0.717
0.336,-0.162,0.617,0.143,0.929,0.665
0.269,-0.228,0.56,0.073,0.904,0.592
0.169,-0.31,0.476,-0.005,0.875,0.52
0.098,-0.381,0.414,-0.072,0.837,0.445
0.03,-0.443,0.335,-0.153,0.793,0.374
-0.059,-0.52,0.254,-0.218,0.755,0.3
-0.128,-0.567,0.202,-0.276,0.707,0.23
-0.227,-0.639,0.128,-0.339,0.65,0.14
-0.304,-0.687,0.045,-0.405,0.579,0.063
-0.359,-0.739,-0.057,-0.462,0.528,-0.006
-0.453,-0.785,-0.119,-0.522,0.456,-0.08
-0.518,-0.827,-0.165,-0.562,0.413,-0.156
-0.592,-0.87,-0.239,-0.612,0.328,-0.228
-0.654,-0.885,-0.327,-0.663,0.261,-0.302
-0.707,-0.905,-0.377,-0.697,0.198,-0.366
-0.755,-0.926,-0.454,-0.738,0.121,-0.432
-0.795,-0.939,-0.519,-0.768,0.049,-0.488
-0.835,-0.937,-0.561,-0.79,-0.019,-0.538
-0.876,-0.941,-0.638,-0.814,-0.068,-0.595
-0.893,-0.932,-0.685,-0.832,-0.161,-0.656
-0.919,-0.92,-0.733,-0.842,-0.227,-0.702
-0.954,-0.904,-0.773,-0.853,-0.279,-0.737
-0.945,-0.876,-0.802,-0.856,-0.352,-0.776
-0.953,-0.845,-0.835,-0.853,-0.417,-0.803
-0.965,-0.799,-0.86,-0.84,-0.493,-0.841
-0.94,-0.761,-0.884,-0.827,-0.532,-0.864
-0.952,-0.719,-0.901,-0.818,-0.588,-0.884
-0.938,-0.67,-0.92,-0.793,-0.618,-0.896
-0.939,-0.622,-0.932,-0.757,-0.676,-0.918
-0.944,-0.572,-0.916,-0.731,-0.722,-0.915
-0.891,-0.505,-0.926,-0.697,-0.768,-0.913
-0.831,-0.431,-0.913,-0.658,-0.809,-0.918
-0.777,-0.366,-0.9,-0.616,-0.837,-0.909
-0.731,-0.298,-0.873,-0.565,-0.852,-0.896
-0.673,-0.219,-0.859,-0.515,-0.883,-0.87
