time,control_1,control_2,control_3,2DG(10mM)_1,2DG(10mM)_2,2DG(10mM)_3,2DG(20mM)_1,2DG(20mM)_2,2DG(20mM)_3,Az(1mM)_1,Az(1mM)_2,Az(1mM)_3
280,465458,1578404,419581,442970,1022277,231189,359723,864338,192140,561066,2521540,843325
285,439939,1465239,388900,417425,959765,214847,336629,808650,179696,522216,2340019,790043
290,419991,1365982,366164,394956,899273,203862,324616,763036,170731,485812,2181938,743782
295,398455,1272870,342427,374005,844349,190819,310883,716543,161338,454332,2027332,693694
300,377049,1192898,319512,354123,795058,179723,293119,671576,151900,423809,1882279,651660
305,359942,1113232,297757,336791,745647,168405,278651,634431,142018,395381,1754439,612739
310,345505,1045528,278373,319464,699004,157867,267705,596072,133318,368536,1633856,574940
315,331188,980757,263523,302729,658089,148973,254629,559536,126410,345014,1523551,542663
320,318816,931400,247615,288708,621804,139969,239970,530791,118638,321941,1425356,508685
325,305842,887047,235376,274629,588179,133631,229259,502945,113340,301901,1325255,477313
330,295645,842936,222342,263283,550996,124886,218874,472815,107012,283512,1248208,447785
335,284693,798112,211597,250344,524726,118407,208739,449019,101608,266463,1164459,421840
340,276759,753988,201262,238139,493411,111883,198759,421445,95522,252932,1086253,398227
345,268277,718255,190548,228652,468844,104429,190774,400996,90746,237204,1020605,375667
350,261604,691429,184590,220315,448653,99846,182232,383385,84991,223906,968173,353295
355,253413,661174,175783,210877,424643,95062,174226,361855,81320,211081,905560,334105
360,248794,628370,167605,202992,402731,90536,166381,342928,78000,200077,852087,316531
365,240819,605829,161462,195431,382263,85307,160576,325611,74687,190071,797511,296530
370,233708,589144,155912,187863,366567,83314,153141,311155,70435,179473,754780,282686
375,228223,569715,150682,180356,348351,77363,147380,296760,66879,170494,715311,265969
380,222976,550509,145370,174346,331959,74358,141462,281251,64176,162871,674181,251762
385,220020,528883,140462,166949,317236,71586,135875,270037,61247,154133,637917,239572
390,214172,514180,136120,160925,305508,67575,130028,261135,59295,146878,606410,226257
