time,cont_1,cont_2,cont_3,2DG_1,2DG_2,2DG_3,Azide_1,Azide_2,Azide_3,hcontrol_1,hcontrol_2,hcontrol_3
90,3728084.6,2522992,5580906.4,910635,783390.4,1424562.4,2708118.8,1940692.4,3390800.6,6183032.2,12946901.8,3145113
92,3777512.6,2553976,5635428.4,930057,799197.4,1450802.4,2742258.8,1963527.4,3419822.6,6389937.2,13330045.8,3243847
94,3802204.6,2582996,5683935.4,947024,816085.4,1474435.4,2768830.8,1985065.4,3450249.6,6581659.2,13688856.8,3336830
96,3853398.6,2611860,5726995.4,964732,830580.4,1504267.4,2798349.8,1999043.4,3471744.6,6772231.2,14046034.8,3424113
98,3886564.6,2633122,5778740.4,984288,844701.4,1524751.4,2828827.8,2014879.4,3497886.6,6942755.2,14375825.8,3518659
100,3919689.6,2657122,5812807.4,1000418,855660.4,1544900.4,2850237.8,2029397.4,3515253.6,7118449.2,14711760.8,3604684
102,3961556.6,2680674,5848466.4,1018164,869606.4,1565117.4,2874147.8,2044903.4,3530306.6,7290376.2,15017258.8,3685003
104,3987161.6,2703487,5883994.4,1030562,879540.4,1584132.4,2893189.8,2056519.4,3547169.6,7456717.2,15326223.8,3765569
106,4012460.6,2729552,5911802.4,1047231,890845.4,1603587.4,2916033.8,2069687.4,3560117.6,7627877.2,15603456.8,3844952
108,4042563.6,2748826,5945801.4,1054153,903166.4,1620259.4,2926604.8,2080431.4,3572132.6,7775613.2,15869453.8,3914616
110,4069981.6,2769639,5979728.4,1070559,912099.4,1633115.4,2944092.8,2087277.4,3581396.6,7924075.2,16147043.8,3989241
112,4086277.6,2785283,6003153.4,1080475,919641.4,1649912.4,2961125.8,2095619.4,3585456.6,8066596.2,16394789.8,4058386
114,4115800.6,2808007,6029274.4,1090774,930073.4,1662929.4,2971908.8,2109491.4,3600524.6,8207359.2,16624198.8,4126542
116,4149970.6,2824675,6052544.4,1095874,939208.4,1677738.4,2984590.8,2120466.4,3605294.6,8342357.2,16866579.8,4189526
118,4174939.6,2839829,6068734.4,1110855,945537.4,1690449.4,3000121.8,2126974.4,3616518.6,8472831.2,17088865.8,4248431
120,4190018.6,2855819,6091278.4,1118240,953387.4,1703845.4,3008726.8,2135659.4,3620104.6,8603445.2,17295878.8,4303281
122,4208452.6,2871062,6116008.4,1126498,960693.4,1709945.4,3015952.8,2142827.4,3626579.6,8709405.2,17514559.8,4360906
124,4229031.6,2892582,6141354.4,1134316,969733.4,1722366.4,3029308.8,2151590.4,3632313.6,8846061.2,17692443.8,4418741
126,4249484.6,2905894,6152905.4,1141850,973960.4,1730654.4,3044352.8,2156832.4,3641176.6,8943481.2,17867602.8,4472745
128,4264107.6,2920939,6171542.4,1147976,982108.4,1742852.4,3049032.8,2165662.4,3643696.6,9070288.2,18056620.8,4521037
130,4283405.6,2940687,6188467.4,1154024,988175.4,1749059.4,3054736.8,2170223.4,3648560.6,9165387.2,18220916.8,4567874
132,4304280.6,2953229,6207242.4,1168219,995148.4,1760418.4,3071905.8,2175713.4,3654581.6,9282461.2,18376959.8,4620031
134,4326927.6,2973072,6222115.4,1168952,1001470.4,1767160.4,3074716.8,2182415.4,3650377.6,9381190.2,18540581.8,4661681
136,4345153.6,2982576,6240682.4,1176414,1008264.4,1772985.4,3086336.8,2190210.4,3654557.6,9474387.2,18683675.8,4708743
138,4367372.6,3001175,6258482.4,1180913,1010968.4,1780350.4,3091319.8,2196189.4,3657218.6,9576990.2,18829555.8,4747873
140,4385190.6,3013614,6265404.4,1185830,1016096.4,1788112.4,3097102.8,2200951.4,3661029.6,9668357.2,18956088.8,4785324
142,4393033.6,3026733,6282873.4,1192268,1020097.4,1792826.4,3102033.8,2202523.4,3660799.6,9755946.2,19094190.8,4824775
144,4419961.6,3040925,6297360.4,1194361,1025620.4,1797414.4,3108808.8,2212264.4,3656927.6,9849138.2,19216157.8,4864704
146,4430117.6,3056481,6312444.4,1200221,1031553.4,1805589.4,3117515.8,2212226.4,3662280.6,9920577.2,19343050.8,4901924
148,4442297.6,3071022,6328513.4,1202293,1036241.4,1806475.4,3120114.8,2223838.4,3661351.6,10010234.2,19445158.8,4935861
150,4458466.6,3086937,6337285.4,1209366,1040629.4,1813152.4,3124119.8,2226340.4,3660237.6,10093006.2,19552391.8,4971103
152,4481698.6,3102877,6348487.4,1214209,1043961.4,1819562.4,3133033.8,2231731.4,3666510.6,10164167.2,19663678.8,5006782
154,4490322.6,3118267,6359718.4,1219823,1047441.4,1821411.4,3139900.8,2236934.4,3666411.6,10242148.2,19746650.8,5039071
156,4498550.6,3130507,6367442.4,1219493,1051346.4,1823338.4,3146165.8,2241736.4,3665651.6,10330920.2,19862436.8,5072633
158,4527774.6,3143599,6385476.4,1219004,1054262.4,1824580.4,3148297.8,2242533.4,3662587.6,10387770.2,19950210.8,5097785
160,4531987.6,3158341,6391077.4,1225037,1059835.4,1832363.4,3156581.8,2250139.4,3664282.6,10461169.2,20029879.8,5128860
162,4543019.6,3170539,6402434.4,1229252,1063307.4,1830877.4,3165588.8,2253533.4,3663097.6,10542641.2,20115751.8,5156755
164,4544753.6,3180225,6414207.4,1230710,1066655.4,1836153.4,3167914.8,2259750.4,3657041.6,10595440.2,20200022.8,5184814
166,4558400.6,3193087,6426098.4,1238681,1070916.4,1837906.4,3168525.8,2259634.4,3657149.6,10650992.2,20271283.8,5209500
168,4574851.6,3209460,6434346.4,1234007,1072751.4,1841144.4,3170910.8,2264091.4,3664915.6,10727957.2,20349869.8,5241907
170,4594062.6,3227725,6439454.4,1237960,1077375.4,1843622.4,3172909.8,2267067.4,3658240.6,10779629.2,20410514.8,5263099
172,4602408.6,3236015,6445027.4,1235541,1080070.4,1847948.4,3183599.8,2273220.4,3653407.6,10837890.2,20468642.8,5286385
174,4611310.6,3250574,6449661.4,1236921,1085358.4,1848955.4,3187098.8,2273897.4,3654210.6,10897835.2,20539965.8,5313601
176,4621052.6,3263515,6458798.4,1240670,1087030.4,1849326.4,3183503.8,2279042.4,3653525.6,10946177.2,20597265.8,5332930
178,4651977.6,3270021,6463357.4,1249175,1090389.4,1853488.4,3185523.8,2281990.4,3651724.6,10996633.2,20642406.8,5353337
180,4645315.6,3283267,6474510.4,1245492,1090760.4,1853526.4,3200805.8,2289211.4,3650148.6,11051841.2,20694358.8,5375248
182,4652216.6,3298801,6478147.4,1251133,1093289.4,1854335.4,3201958.8,2289651.4,3643871.6,11093896.2,20746672.8,5396443
184,4660395.6,3311812,6486708.4,1251894,1095736.4,1855271.4,3203373.8,2296263.4,3640723.6,11145345.2,20788180.8,5414648
186,4676558.6,3323054,6478729.4,1254424,1099191.4,1855955.4,3205404.8,2295369.4,3634473.6,11189408.2,20829082.8,5428520
188,4697340.6,3336204,6487622.4,1255170,1101474.4,1860500.4,3205451.8,2298165.4,3637468.6,11231684.2,20878733.8,5447445
190,4690422.6,3345836,6498684.4,1258881,1104813.4,1861589.4,3212491.8,2302030.4,3628117.6,11271059.2,20898086.8,5466438
192,4694050.6,3357306,6494490.4,1257956,1107483.4,1861721.4,3215533.8,2301369.4,3630107.6,11320425.2,20935115.8,5487044
194,4708119.6,3371874,6497195.4,1258174,1108360.4,1861564.4,3218677.8,2308339.4,3627123.6,11358101.2,20976055.8,5497363
196,4706042.6,3379088,6501412.4,1259281,1111666.4,1863397.4,3218331.8,2308625.4,3627274.6,11398640.2,21006607.8,5515305
